id,name,slug,batch,website,yc_url,location,region,teamSize,oneLiner,github_org,stage,commit_velocity_30d,commit_velocity_90d,acceleration_ratio,active_repos,contributors,commits_per_employee,stabilized_efficiency,total_stars,total_forks,pr_merge_rate,issue_close_rate,founder_linkedin,founder_twitter,last_scored,open_jobs,hiring_intensity,best_headcount,log_commit,log_eff,log_accel,log_repos,log_contrib,log_stars,log_forks,log_pr,log_issues,log_hiring,log_commit_z,log_eff_z,log_accel_z,log_repos_z,log_contrib_z,log_stars_z,log_forks_z,log_pr_z,log_issues_z,log_hiring_z,raw_score,final_score
25643,Mintlify,mintlify,W22,https://mintlify.com,https://www.ycombinator.com/companies/mintlify,"San Francisco, CA, USA",United States of America,55.0,The intelligent knowledge platform,mintlify,Series B/C,151,228,1.96,5,13,4.15,30.74,2218,760,0.78,0.41,https://linkedin.com/in/han-y-wang,https://x.com/hahnbeeIee,2026-03-23T09:06:09.198840+00:00,22.0,40.0,55.0,5.43372200355424,3.457577715098263,1.085189268335969,1.791759469228055,2.639057329615259,7.704811922932594,6.634633357861686,0.5766133643039938,0.3435897043900769,3.713572066704308,0.7339141650499459,-0.26153253559696565,0.14049241898726195,0.6708396838285234,0.2203471466602268,0.8277087568332208,1.2242398347285985,-0.24765340377136205,0.1858121828466686,0.26448290630556387,0.2963,59.1
29325,Respan,respan,W24,https://respan.ai,https://www.ycombinator.com/companies/respan,"San Francisco, CA, USA",United States of America,10.0,"Self-driving observability, evals, and gateway for AI agents",respanai,Pre-A,152,201,3.1,5,6,20.1,63.56,33,15,0.79,0.33,https://linkedin.com/in/hanheli,https://x.com/RespanAI,2026-03-23T09:06:09.198840+00:00,6.0,60.0,10.0,5.308267697401205,4.1675950239616935,1.410986973710262,1.791759469228055,1.9459101490553132,3.5263605246161616,2.772588722239781,0.5822156198526637,0.2851789422336624,4.110873864173311,0.49197622751685377,1.0678645756916059,0.5469788306237827,0.6708396838285234,-0.7526793034064589,-0.6764703869817048,-0.5600129560391073,-0.17562233438355024,-0.0511765177952997,0.6464601180840235,0.2726,57.8
25561,LanceDB,lancedb,W22,https://lancedb.com,https://www.ycombinator.com/companies/lancedb,"San Francisco, CA, USA",United States of America,35.0,"Open-source, serverless vectordb for production-scale generative AI",lancedb,Series B/C,116,210,1.23,5,33,6.0,35.5,9610,808,0.77,0.05,https://linkedin.com/in/changshe,https://x.com/lancedb,2026-03-23T09:06:09.198840+00:00,8.0,22.9,35.0,5.351858133476067,3.597312260588446,0.8020015854720274,1.791759469228055,3.5263605246161616,9.170663554823284,6.695798917058491,0.5709795465857378,0.04879016416943201,3.173878458937465,0.5760401430850878,9.869339269504513e-05,-0.21283095661717383,0.6708396838285234,1.4659260109745853,1.3553931170020244,1.2524981357044993,-0.320090284141507,-1.010271508026179,-0.2543938287676513,0.2502,56.6
25531,haddock,haddock,W22,https://haddock.app,https://www.ycombinator.com/companies/haddock,"Barcelona, Spain",Spain,40.0,AI agents to run restaurant operations,haddocking,Series A (low traction),194,270,2.55,5,12,6.75,42.69,257,88,0.94,0.83,https://linkedin.com/in/arnaunavarro,https://x.com/haddock_app,2026-03-23T09:06:09.198840+00:00,1.0,2.5,40.0,5.602118820879701,3.7771192429633444,1.2669476034873244,1.791759469228055,2.5649493574615367,5.552959584921617,4.48863636973214,0.6626879730752367,0.6043159668533296,1.252762968495368,1.0586664985502445,0.33675933528795154,0.36726594201076757,0.6708396838285234,0.11631582533518708,0.053074544572275124,0.23279580020550955,0.8590519335819472,1.2436511132640067,-2.1014087258012633,0.1848,53.1
27957,Infinia,infinia,W23,https://www.infiniaweb.com/,https://www.ycombinator.com/companies/infinia,Unknown,Remote,12.0,Move money programmatically,infiniai-tech,Pre-A,126,233,1.18,3,14,19.42,67.26,0,1,1.0,0.0,https://linkedin.com/in/ianai-urwicz-ab0b932,https://x.com/AleRettig,2026-03-23T09:06:09.198840+00:00,5.0,41.7,12.0,5.455321115357702,4.223323943478561,0.7793248768009976,1.3862943611198906,2.70805020110221,0.0,0.6931471805599453,0.6931471805599453,0.0,3.754198920234579,0.7755679330433835,1.1722083201272884,-0.2411238935635032,-0.8603681444337994,0.3171979897504692,-1.945906704186943,-1.520708578186697,1.2506815671765286,-1.2082267680458811,0.3035427150798634,0.1201,49.7
25174,GrowthBook,growthbook,W22,https://www.growthbook.io,https://www.ycombinator.com/companies/growthbook,"Palo Alto, CA, USA",United States of America,25.0,Open source feature flagging and A/B testing,growthbook,Series B/C,114,149,3.26,5,28,5.96,29.8,7491,769,0.79,0.7,https://linkedin.com/in/grahammcnicoll,https://x.com/growth_book,2026-03-23T09:06:09.198840+00:00,1.0,4.0,25.0,5.0106352940962555,3.427514689979529,1.449269160281279,1.791759469228055,3.367295829986474,8.921591063563978,6.646390514847729,0.5822156198526637,0.5306282510621704,1.6094379124341003,-0.08200622080801796,-0.31782087990988994,0.5947421769953448,0.6708396838285234,1.2426341048869995,1.2657307969374127,1.2296716052395738,-0.17562233438355024,0.9446795646329859,-1.7584913227971035,0.0782,47.4
25315,Rebill,rebill,W22,https://www.rebill.com,https://www.ycombinator.com/companies/rebill,"Buenos Aires, Argentina",Argentina,10.0,Global payments infrastructure in LATAM and US,Rebilly,Pre-A,60,138,0.77,5,7,13.8,43.64,121,46,0.97,0.75,https://linkedin.com/in/nahuelcandia,https://x.com/diazailan,2026-03-23T09:06:09.198840+00:00,2.0,20.0,10.0,4.9344739331306915,3.7986303180730556,0.5709795465857378,1.791759469228055,2.0794415416798357,4.804021044733257,3.8501476017100584,0.6780335427498971,0.5596157879354227,3.044522437723423,-0.2288829853986622,0.3770354817347729,-0.5010690812164711,0.6708396838285234,-0.5652305470933497,-0.21653197343208153,-0.06218405469038894,1.0563577837753397,1.062290060452356,-0.37876037486652725,0.0653,46.7
25317,Peakflo,peakflo,W22,https://peakflo.co,https://www.ycombinator.com/companies/peakflo,Singapore,Singapore,45.0,Agentic workflows that automate your back‑office operations,peakflo,Series A (low traction),111,141,3.7,4,10,3.13,21.02,64,6,0.95,1.0,https://linkedin.com/in/saurabh-chauhan,https://x.com/GetPeakflo,2026-03-23T09:06:09.198840+00:00,17.0,37.8,45.0,4.955827057601261,3.091951131294534,1.547562508716013,1.6094379124341003,2.3978952727983707,4.174387269895637,1.9459101490553132,0.6678293725756554,0.6931471805599453,3.6584202466292277,-0.18770360262008245,-0.9461115145194062,0.7173793528682411,-0.017683667358093024,-0.11819143016230878,-0.4431905849774512,-0.9419359244241508,0.9251575406803325,1.6040640429293662,0.21145838290549035,0.0264,44.6
25542,Elementary,elementary,W22,http://elementary-data.com/,https://www.ycombinator.com/companies/elementary,"Tel Aviv-Yafo, Israel",Israel,12.0,Open-source data observability for data teams,elementary,Pre-A,107,131,4.46,5,10,10.92,37.82,179,41,0.95,0.6,https://linkedin.com/in/maayansa,https://x.com/MaayanSalom,2026-03-23T09:06:09.198840+00:00,1.0,8.3,12.0,4.882801922586371,3.658935577740864,1.6974487897568138,1.791759469228055,2.3978952727983707,5.19295685089021,3.7376696182833684,0.6678293725756554,0.4700036292457356,2.2300144001592104,-0.3285321727612019,0.11547878171981145,0.9043872277819777,0.6708396838285234,-0.11819143016230878,-0.07652098080934758,-0.11414853847131719,0.9251575406803325,0.6987086198828697,-1.1618514938645377,0.0115,43.8
29441,Retell AI,retell-ai,W24,https://retellai.com,https://www.ycombinator.com/companies/retell-ai,Unknown,Unknown,24.0,Supercharge Your Contact Center Operations with AI Phone Agents,RetellAI,Series A (low traction),73,180,0.68,4,10,7.5,36.74,116,32,0.99,0.25,https://linkedin.com/in/binw,https://x.com/retellai,2026-03-23T09:06:09.198840+00:00,4.0,16.7,24.0,5.198497031265826,3.630720539940404,0.5187937934151676,1.6094379124341003,2.3978952727983707,4.762173934797756,3.4965075614664802,0.688134638736401,0.22314355131420976,2.8735646395797834,0.2802841032622191,0.06265050657976964,-0.5661794217588757,-0.017683667358093024,-0.11819143016230878,-0.2315962984639036,-0.22556466995098937,1.1862327492380553,-0.3028713449993845,-0.5431240487353496,-0.0363,41.3
