id,name,slug,batch,website,yc_url,location,region,teamSize,oneLiner,github_org,stage,commit_velocity_30d,commit_velocity_90d,acceleration_ratio,active_repos,contributors,commits_per_employee,stabilized_efficiency,total_stars,total_forks,pr_merge_rate,issue_close_rate,founder_linkedin,founder_twitter,last_scored,open_jobs,hiring_intensity,best_headcount,log_commit,log_eff,log_accel,log_repos,log_contrib,log_stars,log_forks,log_pr,log_issues,log_hiring,log_commit_z,log_eff_z,log_accel_z,log_repos_z,log_contrib_z,log_stars_z,log_forks_z,log_pr_z,log_issues_z,log_hiring_z,raw_score,final_score
29231,Ubicloud,ubicloud,W24,https://www.ubicloud.com,https://www.ycombinator.com/companies/ubicloud,Unknown,Remote,15.0,Open source alternative to AWS,ubicloud,Series B/C,179,321,1.26,5,29,21.4,82.88,11928,556,0.69,0.97,https://linkedin.com/in/umurc,https://x.com/UbicloudHQ,2026-03-16T09:06:02.713454+00:00,16.0,106.7,15.0,5.7745515455444085,4.429387206033719,0.8153648132841945,1.791759469228055,3.4011973816621555,9.386727689281946,6.322565239927284,0.524728528934982,0.6780335427498971,4.679349584162343,1.2499164622160368,1.3868943815246424,-0.07291061020712307,0.6650023384300027,1.243863185494584,1.3807270881208156,1.0220017694796864,-0.8126236160343739,1.402387764928581,1.1349624797409263,0.9572,99.3
25643,Mintlify,mintlify,W22,https://mintlify.com,https://www.ycombinator.com/companies/mintlify,"San Francisco, CA, USA",United States of America,35.0,The intelligent documentation platform,mintlify,Series B/C,150,227,1.95,5,16,6.49,38.37,2200,759,0.69,0.44,https://linkedin.com/in/han-y-wang,https://x.com/hahnbeeIee,2026-03-16T09:06:02.713454+00:00,24.0,68.6,35.0,5.42934562895444,3.673004104955646,1.0818051703517284,1.791759469228055,2.833213344056216,7.696667081526462,6.633318433280377,0.524728528934982,0.36464311358790924,4.242764567340374,0.6203939787818202,0.04634396545707257,0.4009161478314701,0.6650023384300027,0.4527079323017477,0.7909627120386883,1.1591613351489185,-0.8126236160343739,0.14988160033816386,0.738183309316988,0.3851,66.3
25561,LanceDB,lancedb,W22,https://lancedb.com,https://www.ycombinator.com/companies/lancedb,"San Francisco, CA, USA",United States of America,35.0,"Open-source, serverless vectordb for production-scale generative AI",lancedb,Series B/C,122,237,1.06,5,37,6.77,40.06,9511,808,0.76,0.33,https://linkedin.com/in/changshe,https://x.com/lancedb,2026-03-16T09:06:02.713454+00:00,8.0,22.9,35.0,5.472270673671474,3.7150344115907874,0.7227059828014897,1.791759469228055,3.6375861597263857,9.160309438370618,6.695798917058491,0.5653138090500605,0.28517894223366236,3.1738784589374647,0.6986727088184458,0.12083498061444381,-0.23769132786747107,0.6650023384300027,1.5731333958857847,1.3017160645696144,1.1867388345957937,-0.32384264019895886,-0.16770743628751394,-0.23324660015863447,0.3654,65.2
25174,GrowthBook,growthbook,W22,https://www.growthbook.io,https://www.ycombinator.com/companies/growthbook,"Palo Alto, CA, USA",United States of America,25.0,Open source feature flagging and A/B testing,growthbook,Series B/C,142,228,1.65,5,26,9.12,45.6,7494,764,0.89,0.72,https://linkedin.com/in/grahammcnicoll,https://x.com/growth_book,2026-03-16T09:06:02.713454+00:00,1.0,4.0,25.0,5.433722003554239,3.8416005411316,0.9745596399981308,1.791759469228055,3.295836866004329,8.921991410536698,6.639875833826536,0.636576829071551,0.5423242908253616,1.6094379124341003,0.6283747985595305,0.34515024806842337,0.2101950329040698,0.6650023384300027,1.0971046149665384,1.2185524890447954,1.1620556262779185,0.5343997661197278,0.860007848981704,-1.6550485363260932,0.3281,63.0
26254,Eventual,eventual,W22,https://www.daft.ai/,https://www.ycombinator.com/companies/eventual,"San Francisco, CA, USA",United States of America,18.0,Building the AI data engine for any modality and scale,Eventual-Inc,Series B/C,114,186,1.58,5,23,10.33,43.84,5321,418,0.57,0.18,https://linkedin.com/in/sammy-sidhu,https://x.com/sammy_sidhu,2026-03-16T09:06:02.713454+00:00,21.0,116.7,18.0,5.231108616854587,3.803100598203959,0.947789398933526,1.791759469228055,3.1780538303479453,8.579604451537634,6.037870919922137,0.4510756193602166,0.16551443847757338,4.7681390142662305,0.25888610719482136,0.2769161555342754,0.1625879185946628,0.6650023384300027,0.933042491338343,1.099072968413335,0.8963440124054591,-1.6996481952166294,-0.6459624009906098,1.2156564913574563,0.327,62.9
27664,Infisical,infisical,W23,https://infisical.com,https://www.ycombinator.com/companies/infisical,"San Francisco, CA, USA",United States of America,40.0,"Unified platform for secrets, certs, and privileged access management",Infisical,Series B/C,131,193,2.11,4,14,4.82,30.52,25446,1768,0.76,0.38,https://linkedin.com/in/vmatsiiako,https://x.com/matsiiako,2026-03-16T09:06:02.713454+00:00,21.0,52.5,40.0,5.267858159063328,3.4506222649896783,1.1346227261911426,1.6094379124341003,2.70805020110221,10.144353136837953,7.478169694159785,0.5653138090500605,0.3220834991691133,3.979681653901961,0.3259031018768579,-0.3477870875335982,0.49484475356655633,-0.027113301297753235,0.2783659235516898,1.6451084347609335,1.5320599391727712,-0.32384264019895886,-0.020213509345545725,0.4990871055428375,0.3114,62.0
26290,Mono,mono-2,W22,https://mono.la,https://www.ycombinator.com/companies/mono-2,"Bogotá, Bogota, Colombia",Colombia,30.0,Embedded finance infrastructure for LatAm enterprises.,mono,Series B/C,35,110,0.47,5,8,3.67,20.08,6067,1539,0.87,0.4,https://linkedin.com/in/sebastian-ortiz-v,https://x.com/juanpoveda93,2026-03-16T09:06:02.713454+00:00,1.0,3.3,30.0,4.709530201312334,3.0483247236731614,0.38526240079064494,1.791759469228055,2.197224577336219,8.710784340468422,7.3395376954076745,0.6259384308664953,0.3364722366212129,1.4586150226995167,-0.692271806613034,-1.0607857460522145,-0.8377873502752248,0.6650023384300027,-0.4331723397619008,1.1448495665984941,1.4708708503929446,0.40627827376464604,0.037292976757488494,-1.7921200774097676,-0.4491,18.2
29389,Delve,delve,W24,https://delve.co/?utm_source=yc&utm_medium=bio&utm_campaign=delve,https://www.ycombinator.com/companies/delve,"San Francisco, CA, USA",United States of America,45.0,AI that makes compliance effortless,go-delve,Series B/C,51,78,1.89,2,9,1.73,11.63,24727,2208,0.86,0.8,https://linkedin.com/in/karun-kaushik,https://x.com/karunkaushik_,2026-03-16T09:06:02.713454+00:00,1.0,2.2,45.0,4.3694478524670215,2.5360749363624,1.0612565021243408,1.0986122886681096,2.3025850929940455,10.115691483811952,7.700295203420117,0.6205764877251099,0.5877866649021191,1.1631508098056809,-1.3124508780845572,-1.9686546084464387,0.3643732270992109,-1.9662718385500606,-0.2864137692338551,1.635106650306108,1.6301012112365032,0.34170274801764844,1.0417042203109692,-2.0606452002721123,-0.618,8.4
25763,Cinder,cinder-2,W22,http://www.cinder.co,https://www.ycombinator.com/companies/cinder-2,"New York, NY, USA",United States of America,23.0,"Cinder | Responsible AI, Trust & Safety, and Data Labeling At Scale",cinder,Series B/C,0,65,0.0,1,4,2.83,13.55,5694,1078,0.89,0.19,https://linkedin.com/in/glenwise,,2026-03-16T09:06:02.713454+00:00,12.0,52.2,23.0,4.189654742026425,2.6775909936175015,0.0,0.6931471805599453,1.6094379124341003,8.647343875881282,6.983789965258135,0.636576829071551,0.173953307123438,3.9740583963475986,-1.6403241848545713,-1.7178433341554402,-1.5229224265449453,-3.50546856119932,-1.2519110311767492,1.1227113510552749,1.3138516943590957,0.5343997661197278,-0.6122353499463966,0.4939765511684765,-0.737,1.5
25522,Unlayer,unlayer,W22,https://unlayer.com,https://www.ycombinator.com/companies/unlayer,"San Francisco, CA, USA",United States of America,35.0,Unlayer makes embeddable email and web editing software.,unlayer,Series B/C,44,86,1.05,3,3,2.46,14.54,5114,856,0.7,0.15,https://linkedin.com/in/adeelr,https://x.com/unlayerapp,2026-03-16T09:06:02.713454+00:00,4.0,11.4,35.0,4.465908118654584,2.7434173449395014,0.7178397931503168,1.3862943611198906,1.3862943611198906,8.539932678385727,6.75343791859778,0.5306282510621704,0.1397619423751587,2.517696472610991,-1.1365445468056328,-1.601178191151659,-0.24634516278870183,-0.874194384219257,-1.5627317253329895,1.085229087055684,1.2121794111878874,-0.7415714530258066,-0.7488856466306122,-0.8296008820279088,-0.7637,0.0
