id,name,slug,batch,website,yc_url,location,region,teamSize,oneLiner,github_org,stage,commit_velocity_30d,commit_velocity_90d,acceleration_ratio,active_repos,contributors,commits_per_employee,stabilized_efficiency,total_stars,total_forks,pr_merge_rate,issue_close_rate,founder_linkedin,founder_twitter,last_scored,open_jobs,hiring_intensity,best_headcount,log_commit,log_eff,log_accel,log_repos,log_contrib,log_stars,log_forks,log_pr,log_issues,log_hiring,log_commit_z,log_eff_z,log_accel_z,log_repos_z,log_contrib_z,log_stars_z,log_forks_z,log_pr_z,log_issues_z,log_hiring_z,raw_score,final_score
29231,Ubicloud,ubicloud,W24,https://www.ubicloud.com,https://www.ycombinator.com/companies/ubicloud,Unknown,Remote,15.0,Open source alternative to AWS,ubicloud,Series B/C,185,326,1.31,5,34,21.73,84.17,11908,554,0.78,1.0,https://linkedin.com/in/umurc,https://x.com/UbicloudHQ,2026-03-04T11:52:26.105222+00:00,16.0,106.7,15.0,5.7899601708972535,4.444649259152989,0.8372475245337022,1.791759469228055,3.5553480614894135,9.385049695767995,6.318968113746434,0.5766133643039938,0.6931471805599453,4.679349584162343,1.244695467296983,1.3395237817604464,0.13974517613707407,0.8039780687152296,1.452161362561046,1.7815998927698797,1.5440495152002194,-0.3717858678314439,1.4350362102561636,0.8048175066009073,1.037,100.0
27664,Infisical,infisical,W23,https://infisical.com,https://www.ycombinator.com/companies/infisical,"San Francisco, CA, USA",United States of America,40.0,"Unified platform for secrets, certs, and privileged access management",Infisical,Series B/C,168,339,0.98,5,19,8.48,53.6,25294,1764,0.78,0.15,https://linkedin.com/in/vmatsiiako,https://x.com/dangtony98,2026-03-04T11:52:26.105222+00:00,20.0,50.0,40.0,5.828945617610207,4.000033882750859,0.6830968447064438,1.791759469228055,2.995732273553991,10.138362026726035,7.475905969367397,0.5766133643039938,0.1397619423751587,3.9318256327243257,1.3007125992328599,0.6983623495143908,-0.1577662619381551,0.8039780687152296,0.76538194244318,2.0430839402072154,2.0902564748375343,-0.3717858678314439,-0.5629060409461045,0.052657009057534884,0.6166,77.9
29389,Delve,delve,W24,https://delve.co/?utm_source=yc&utm_medium=bio&utm_campaign=delve,https://www.ycombinator.com/companies/delve,"San Francisco, CA, USA",United States of America,33.0,AI that makes compliance effortless,go-delve,Series B/C,23,52,0.79,2,10,1.58,9.05,24699,2206,0.96,0.65,https://linkedin.com/in/karun-kaushik,https://x.com/getdelve,2026-03-04T11:52:26.105222+00:00,1.0,3.0,33.0,3.9702919135521215,2.307572634505085,0.5822156198526636,1.0986122886681096,2.3978952727983707,10.114558522616068,7.699389406256736,0.6729444732424258,0.5007752879124893,1.3862943611198906,-1.3699365414562206,-1.7422659677680026,-0.35246743558637844,-2.1158421272132597,0.03169615738214698,2.03482144888446,2.195766211596131,0.7909954292865411,0.740496663945104,-2.5086630183194925,-0.6261,12.5
