id,name,slug,batch,website,yc_url,location,region,teamSize,oneLiner,github_org,commit_velocity_30d,commit_velocity_90d,acceleration_ratio,active_repos,contributors,commits_per_employee,stabilized_efficiency,total_stars,total_forks,pr_merge_rate,issue_close_rate,founder_linkedin,founder_twitter,open_jobs,hiring_intensity,best_headcount,stage,log_commit,log_eff,log_accel,log_repos,log_contrib,log_stars,log_forks,log_pr,log_issues,log_hiring,log_commit_z,log_eff_z,log_accel_z,log_repos_z,log_contrib_z,log_stars_z,log_forks_z,log_pr_z,log_issues_z,log_hiring_z,raw_score,final_score
29231,Ubicloud,ubicloud,W24,https://www.ubicloud.com,https://www.ycombinator.com/companies/ubicloud,Unknown,Remote,15.0,Open source alternative to AWS,ubicloud,185,326,1.31,5,34,21.73,84.17,11908,554,0.77,1.0,https://linkedin.com/in/umurc,https://x.com/UbicloudHQ,16.0,106.7,15.0,Series B/C,5.7899601708972535,4.44464925915299,0.8372475245337022,1.791759469228055,3.5553480614894135,9.385049695767997,6.318968113746434,0.5709795465857378,0.6931471805599453,4.679349584162343,1.4536569276097926,1.5588638641894872,-0.048318315110814046,0.6872377678602731,1.5375112545187826,1.5530890593376336,1.1889835831544233,-0.45976453773188497,1.6319851097138218,1.0230027368575867,1.1036,100.0
30288,Harper,harper,W25,https://www.harperinsure.com/,https://www.ycombinator.com/companies/harper,"San Francisco, CA, USA",United States of America,25.0,AI-native commercial insurance brokerage,HarperFast,280,353,3.84,5,15,14.12,70.6,78,16,0.88,0.4,https://linkedin.com/in/dakotahrice,,22.0,88.0,25.0,Series A (low traction),5.869296913133774,4.2710950739666,1.5769147207285403,1.791759469228055,2.772588722239781,4.3694478524670215,2.833213344056216,0.6312717768418579,0.33647223662121295,4.48863636973214,1.580642163433763,1.2953903345448687,0.9067062413509367,0.6872377678602731,0.5350136245292588,-0.16699527205104503,-0.34066008504078893,0.3325923475648388,0.2425823465094768,0.8585791328177008,0.7897,86.2
27664,Infisical,infisical,W23,https://infisical.com,https://www.ycombinator.com/companies/infisical,"San Francisco, CA, USA",United States of America,40.0,"Unified platform for secrets, certs, and privileged access management",Infisical,168,339,0.98,5,19,8.48,53.6,25296,1764,0.78,0.15,https://linkedin.com/in/vmatsiiako,https://x.com/infisical,20.0,50.0,40.0,Series B/C,5.8289456176102075,4.000033882750859,0.6830968447064438,1.791759469228055,2.995732273553991,10.138441090609696,7.475905969367397,0.5766133643039938,0.13976194237515868,3.9318256327243257,1.516056466650462,0.8838909015430854,-0.24735064395769954,0.6872377678602731,0.8207986290932219,1.8114621866625462,1.6966792709676044,-0.3857252421111414,-0.5236891032258745,0.37852415382495697,0.6915,81.9
29226,Greptile,greptile,W24,https://www.greptile.com,https://www.ycombinator.com/companies/greptile,"San Francisco, CA, USA",United States of America,20.0,AI code review agent with complete context of your codebase,greptileai,296,371,3.95,4,61,18.55,82.96,4,5,0.41,1.0,https://linkedin.com/in/dakshg,https://x.com/vaishaaant,20.0,100.0,20.0,Series A (low traction),5.918893854273146,4.430340494952432,1.599387576580599,1.6094379124341003,4.127134385045092,1.6094379124341003,1.791759469228055,0.3435897043900769,0.6931471805599453,4.61512051684126,1.6600263061296496,1.5371416533149715,0.9357221681122578,0.0738664900660399,2.2698109608046053,-1.1135316999113436,-0.797678272091808,-3.448108248768823,1.6319851097138218,0.9676275770155929,0.6814,81.5
29453,Miden,miden,W24,http://www.miden.co,https://www.ycombinator.com/companies/miden,"15a Ajanaku St, Opebi, Ikeja 101233, Lagos, Nigeria",Nigeria,19.0,Card issuer processor and banking stack for businesses in Sub-…,0xMiden,330,423,3.55,5,36,22.26,97.04,283,292,0.76,0.35,https://linkedin.com/in/okiemute-d-avworhokai-5b52a7a6,https://x.com/TyrusTechHQ,1.0,5.3,19.0,Series A (low traction),6.049733455231958,4.585375558659912,1.515127232962859,1.791759469228055,3.6109179126442243,5.648974238161206,5.680172609017068,0.5653138090500605,0.30010459245033805,1.840549633397487,1.8694462686148334,1.7725012063549594,0.826929054527091,0.6872377678602731,1.608680822594421,0.27181413834315316,0.9086628022500113,-0.5342233216847698,0.10091468478854126,-1.4244717102989537,0.6666,80.8
25814,Duplo,duplo,W22,https://www.tryduplo.com/,https://www.ycombinator.com/companies/duplo,Unknown,Nigeria,13.0,Venmo for B2B in Africa,duplocloud,250,255,50.0,5,19,19.62,70.72,70,7,0.71,0.0,https://linkedin.com/in/yelew,https://x.com/tryduplo,5.0,38.5,13.0,Pre-A,5.545177444479562,4.272769648736932,3.9318256327243257,1.791759469228055,2.995732273553991,4.2626798770413155,2.0794415416798357,0.5364933705145685,0.0,3.676300671907076,1.061861255597988,1.2979325153912677,3.947259831946154,0.6872377678602731,0.8207986290932219,-0.20361100180023517,-0.6714355815831321,-0.9129798018126565,-1.0681221569819803,0.15822303255630396,0.6452,79.9
25643,Mintlify,mintlify,W22,https://mintlify.com,https://www.ycombinator.com/companies/mintlify,"San Francisco, CA, USA",United States of America,35.0,The intelligent documentation platform,mintlify,154,212,2.66,5,16,6.06,35.83,2174,755,0.93,0.47,https://linkedin.com/in/han-y-wang,https://x.com/handotdev,24.0,68.6,35.0,Series B/C,5.3612921657094255,3.606312730456974,1.297463147413275,1.791759469228055,2.833213344056216,7.684783943522785,6.628041376179533,0.6575200029167942,0.3852624007906449,4.242764567340374,0.7675371526550083,0.2861807306289752,0.5458911122889617,0.6872377678602731,0.612656951976809,0.9699884522709106,1.3246133075975006,0.6775449653225756,0.43264108224687364,0.6466004925235739,0.6369,79.5
27881,Inkeep,inkeep,W23,https://inkeep.com,https://www.ycombinator.com/companies/inkeep,"San Francisco, CA, USA",United States of America,17.0,Build AI Agent teammates and automations in code or no-code,inkeep,228,243,15.2,5,19,14.29,58.94,980,103,0.57,0.0,https://linkedin.com/in/edwinngomez,https://x.com/robert_inkeep,11.0,64.7,17.0,Series A,5.497168225293202,4.0933440618885175,2.785011242238338,1.791759469228055,2.995732273553991,6.8885724595653635,4.6443908991413725,0.4510756193602167,0.0,4.185098925490565,0.9850183975697405,1.0255455797219344,2.4665453832695174,0.6872377678602731,0.8207986290932219,0.6969303147203568,0.45413371491419385,-2.0355347805587396,-1.0681221569819803,0.5968839970486947,0.5547,75.9
26254,Eventual,eventual,W22,https://www.daft.ai/,https://www.ycombinator.com/companies/eventual,"San Francisco, CA, USA",United States of America,18.0,Building the AI data engine for any modality and scale,Eventual-Inc,115,197,1.4,5,26,10.94,46.43,5287,411,0.71,0.14,https://linkedin.com/in/sammy-sidhu,https://x.com/sammy_sidhu,21.0,116.7,18.0,Series B/C,5.288267030694535,3.85925493988949,0.8754687373538999,1.791759469228055,3.295836866004329,8.573195381531523,6.021023349349527,0.5364933705145685,0.1310282624064041,4.768139014266231,0.6506541835598333,0.6701736412218307,0.0010311720758858858,0.6872377678602731,1.2051493836544391,1.274666264044658,1.058237345268002,-0.9129798018126565,-0.5577105540951972,1.099552640029985,0.5495,75.7
28416,Pierre,pierre,W23,https://pierre.co,https://www.ycombinator.com/companies/pierre,"San Francisco, CA, USA",United States of America,10.0,"Pierre is a new, opinionated, git platform.",pierrecomputer,124,186,2.0,4,11,18.6,58.82,1919,51,0.86,0.67,https://linkedin.com/in/jacob-thornton-13a6a5162,https://x.com/fat,5.0,50.0,10.0,Pre-A,5.231108616854587,4.091340053201802,1.0986122886681096,1.6094379124341003,2.4849066497880004,7.560080465021827,3.9512437185814275,0.6205764877251099,0.5128236264286637,3.9318256327243257,0.5591672576264318,1.0225032834986518,0.2891439506572111,0.0738664900660399,0.16657267293377748,0.9272218001042006,0.14996194554870002,0.19203549743846332,0.9295470813675761,0.37852415382495697,0.5481,75.6
